num_expediente;fecha;hora;localizacion;numero;cod_distrito;distrito;tipo_accidente;estado_meteorológico;tipo_vehiculo;tipo_persona;rango_edad;sexo;cod_lesividad;lesividad;coordenada_x_utm;coordenada_y_utm;positiva_alcohol;positiva_droga
2024S018506;31/05/2024;14:05:00;CALL. FUENTE CARRANTONA / CALL. HACIENDA DE PAVONES;10A;14;MORATALAZ;Alcance;NULL;Turismo;Conductor;De 55 a 59 años;Mujer;14;Sin asistencia sanitaria;445996,919;4472413,355;N;NULL
2024S018506;31/05/2024;14:05:00;CALL. FUENTE CARRANTONA / CALL. HACIENDA DE PAVONES;10A;14;MORATALAZ;Alcance;NULL;Turismo;Pasajero;De 21 a 24 años;Mujer;NULL;NULL;445996,919;4472413,355;N;NULL
2024S018506;31/05/2024;14:05:00;CALL. FUENTE CARRANTONA / CALL. HACIENDA DE PAVONES;10A;14;MORATALAZ;Alcance;NULL;Turismo;Pasajero;De 55 a 59 años;Mujer;NULL;NULL;445996,919;4472413,355;N;NULL
2024S018507;31/05/2024;15:00:00;PASEO. DELICIAS / PLAZA. EMPERADOR CARLOS V;1;2;ARGANZUELA;Colisión lateral;Despejado;NULL;Conductor;Desconocido;Desconocido;NULL;NULL;441179,991;4473168,556;N;NULL
2024S018507;31/05/2024;15:00:00;PASEO. DELICIAS / PLAZA. EMPERADOR CARLOS V;1;2;ARGANZUELA;Colisión lateral;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 65 a 69 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;441179,991;4473168,556;N;NULL
2024S018508;31/05/2024;14:23:00;CTRA. VICALVARO A VALLECAS / AVDA. DEMOCRACIA;7;13;PUENTE DE VALLECAS;Caída;Despejado;Motocicleta > 125cc;Conductor;De 45 a 49 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;446860,719;4470498,715;N;NULL
2024S018509;31/05/2024;14:50:00;PASEO. RECOLETOS 8;8;4;SALAMANCA;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;De 35 a 39 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;441305,214;4474726,172;N;NULL
2024S018509;31/05/2024;14:50:00;PASEO. RECOLETOS 8;8;4;SALAMANCA;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;De 50 a 54 años;Mujer;14;Sin asistencia sanitaria;441305,214;4474726,172;N;NULL
2024S018510;31/05/2024;15:55:00;AUTOV. A-42 +00500S;+00500S;11;CARABANCHEL;Alcance;NULL;Furgoneta;Conductor;De 40 a 44 años;Hombre;NULL;NULL;438885,496;4469429,236;N;NULL
2024S018510;31/05/2024;15:55:00;AUTOV. A-42 +00500S;+00500S;11;CARABANCHEL;Alcance;NULL;Turismo;Conductor;De 35 a 39 años;Hombre;NULL;NULL;438885,496;4469429,236;N;NULL
2024S018510;31/05/2024;15:55:00;AUTOV. A-42 +00500S;+00500S;11;CARABANCHEL;Alcance;NULL;Turismo;Conductor;De 35 a 39 años;Mujer;NULL;NULL;438885,496;4469429,236;N;NULL
2024S018514;31/05/2024;15:15:00;AUTOV. M-30 01MT20;01MT20;16;HORTALEZA;Alcance;Despejado;Turismo;Conductor;De 25 a 29 años;Mujer;NULL;NULL;443678,209;4481672,042;N;NULL
2024S018514;31/05/2024;15:15:00;AUTOV. M-30 01MT20;01MT20;16;HORTALEZA;Alcance;Despejado;Turismo;Conductor;De 50 a 54 años;Hombre;NULL;NULL;443678,209;4481672,042;N;NULL
2024S018515;31/05/2024;15:35:00;CALL. CLAUDIO COELLO 141;141;4;SALAMANCA;Alcance;Despejado;Turismo;Conductor;De 50 a 54 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;441873,082;4476377,797;N;NULL
2024S018515;31/05/2024;15:35:00;CALL. CLAUDIO COELLO 141;141;4;SALAMANCA;Alcance;Despejado;Turismo;Conductor;De 50 a 54 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;441873,082;4476377,797;N;NULL
2024S018515;31/05/2024;15:35:00;CALL. CLAUDIO COELLO 141;141;4;SALAMANCA;Alcance;Despejado;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;441873,082;4476377,797;N;NULL
2024S018516;31/05/2024;14:30:00;CALL. SESEÑA / CALL. ESCALONA;58;10;LATINA;Atropello a persona;Despejado;Bicicleta;Conductor;De 15 a 17 años;Hombre;14;Sin asistencia sanitaria;434919,097;4471939,439;N;NULL
2024S018516;31/05/2024;14:30:00;CALL. SESEÑA / CALL. ESCALONA;58;10;LATINA;Atropello a persona;Despejado;Bicicleta;Peatón;De 70 a 74 años;Hombre;2;Ingreso inferior o igual a 24 horas;434919,097;4471939,439;N;NULL
2024S018517;31/05/2024;17:52:00;CALL. BRAVO MURILLO / CALL. CRISTOBAL BORDIU;60;7;CHAMBERÍ;Colisión fronto-lateral;Despejado;Autobús;Conductor;De 45 a 49 años;Hombre;NULL;NULL;440295,836;4477204,391;N;NULL
2024S018517;31/05/2024;17:52:00;CALL. BRAVO MURILLO / CALL. CRISTOBAL BORDIU;60;7;CHAMBERÍ;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 25 a 29 años;Mujer;NULL;NULL;440295,836;4477204,391;N;NULL
2024S018518;31/05/2024;17:55:00;CALL. VIA LUSITANA / CALL. FARO;1;11;CARABANCHEL;Alcance;Despejado;Motocicleta > 125cc;Conductor;De 30 a 34 años;Hombre;1;Atención en urgencias sin posterior ingreso;438408,138;4470274,673;N;NULL
