num_expediente,fecha,localizacion,numero,cod_distrito,distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,tipo_persona,rango_edad,sexo,cod_lesividad,lesividad,coordenada_x_utm,coordenada_y_utm,positiva_alcohol,positiva_droga
2024S008262,2024-06-03T00:15:00Z,CALL. VELAZQUEZ / CALL. JOAQUIN COSTA,139,5,CHAMARTÍN,Choque contra obstáculo fijo,Despejado,Turismo,Conductor,De 50 a 54 años,Hombre,0,Desconocido,442099.49,4477046.449,false,false
2024S008264,2024-06-03T13:45:00Z,AUTOV. M-30 13NL30,13NL30,2,ARGANZUELA,Colisión fronto-lateral,Despejado,Camión rígido,Conductor,De 25 a 29 años,Hombre,0,Desconocido,441058.605,4470876.67,false,false
2024S008264,2024-06-03T13:45:00Z,AUTOV. M-30 13NL30,13NL30,2,ARGANZUELA,Colisión fronto-lateral,Despejado,Turismo,Conductor,De 50 a 54 años,Hombre,0,Desconocido,441058.605,4470876.67,false,false
2024S008265,2024-06-03T13:45:00Z,AVDA. MONFORTE DE LEMOS / AVDA. BETANZOS,40,8,FUENCARRAL-EL PARDO,Choque contra obstáculo fijo,Despejado,Turismo,Conductor,Más de 74 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,439646.028,4481048.862,false,false
2024S008269,2024-06-03T11:45:00Z,AUTOV. M-30 19NC60,19NC60,9,MONCLOA-ARAVACA,Alcance,Se desconoce,Furgoneta,Conductor,De 21 a 24 años,Hombre,0,Desconocido,437861.238,4475281.344,false,false
2024S008269,2024-06-03T11:45:00Z,AUTOV. M-30 19NC60,19NC60,9,MONCLOA-ARAVACA,Alcance,Se desconoce,Furgoneta,Conductor,De 30 a 34 años,Hombre,0,Desconocido,437861.238,4475281.344,false,false
2024S008270,2024-06-03T14:35:00Z,CALL. ALBAIDA / CALL. ALBERIQUE,1,20,SAN BLAS-CANILLEJAS,Caída,Despejado,VMU eléctrico,Conductor,De 45 a 49 años,Hombre,6,Asistencia sanitaria inmediata en centro de salud o mutua,447379.596,4475584.513,false,false
2024S008300,2024-06-03T20:20:00Z,AUTOV. A-2 +00500E,+00500E,15,CIUDAD LINEAL,Colisión múltiple,Despejado,Turismo,Conductor,De 25 a 29 años,Hombre,0,Desconocido,444541.208,4477583.11,false,false
2024S008300,2024-06-03T20:20:00Z,AUTOV. A-2 +00500E,+00500E,15,CIUDAD LINEAL,Colisión múltiple,Despejado,Turismo,Conductor,De 25 a 29 años,Mujer,0,Desconocido,444541.208,4477583.11,false,false
2024S008300,2024-06-03T20:20:00Z,AUTOV. A-2 +00500E,+00500E,15,CIUDAD LINEAL,Colisión múltiple,Despejado,Turismo,Conductor,De 30 a 34 años,Hombre,0,Desconocido,444541.208,4477583.11,false,false
2024S008300,2024-06-03T20:20:00Z,AUTOV. A-2 +00500E,+00500E,15,CIUDAD LINEAL,Colisión múltiple,Despejado,Turismo,Conductor,De 55 a 59 años,Hombre,0,Desconocido,444541.208,4477583.11,false,false
2024S008312,2024-06-03T18:30:00Z,CALL. GANDHI / CALL. LUIS RUIZ,25,15,CIUDAD LINEAL,Caída,Despejado,Autobus EMT,Conductor,De 35 a 39 años,Hombre,14,Sin asistencia sanitaria,446212.179,4475040.211,false,false
2024S008324,2024-06-03T21:10:00Z,CALL. VILLACARLOS 21,21,19,VICÁLVARO,Choque contra obstáculo fijo,Se desconoce,Sin especificar,Conductor,Desconocido,Desconocido,0,Desconocido,448599.613,4473023.469,false,false
2024S008324,2024-06-03T21:10:00Z,CALL. VILLACARLOS 21,21,19,VICÁLVARO,Choque contra obstáculo fijo,Se desconoce,Turismo,Conductor,De 25 a 29 años,Mujer,0,Desconocido,448599.613,4473023.469,false,false
2024S009118,2024-06-03T12:30:00Z,CALL. TELLEZ 1,1,3,RETIRO,Colisión múltiple,Despejado,Turismo,Conductor,De 55 a 59 años,Hombre,0,Desconocido,442010.314,4472825.646,false,false
2024S009118,2024-06-03T12:30:00Z,CALL. TELLEZ 1,1,3,RETIRO,Colisión múltiple,Despejado,Turismo,Conductor,Desconocido,Desconocido,0,Desconocido,442010.314,4472825.646,false,false
2024S009118,2024-06-03T12:30:00Z,CALL. TELLEZ 1,1,3,RETIRO,Colisión múltiple,Despejado,Turismo,Conductor,Desconocido,Desconocido,0,Desconocido,442010.314,4472825.646,false,false
2024S009118,2024-06-03T12:30:00Z,CALL. TELLEZ 1,1,3,RETIRO,Colisión múltiple,Despejado,Turismo,Conductor,Desconocido,Desconocido,0,Desconocido,442010.314,4472825.646,false,false
